strategy_id,strategy_label,seed,q_min,lambda,resilience
distance_driven,Nearest-Neighbor Reconfiguration,35,0.5,0.05,0.41617106209030325
distance_driven,Nearest-Neighbor Reconfiguration,11,0.5,0.07,0.11752849632159848
distance_driven,Nearest-Neighbor Reconfiguration,17,0.5,0.07,0.2168733947374049
distance_driven,Nearest-Neighbor Reconfiguration,23,0.5,0.07,0.3471935964839026
distance_driven,Nearest-Neighbor Reconfiguration,29,0.5,0.07,0.423162882233486
distance_driven,Nearest-Neighbor Reconfiguration,35,0.5,0.07,0.41334200347229205
distance_driven,Nearest-Neighbor Reconfiguration,11,0.5,0.1,0.12005955049536828
distance_driven,Nearest-Neighbor Reconfiguration,17,0.5,0.1,0.21635427010317831
distance_driven,Nearest-Neighbor Reconfiguration,23,0.5,0.1,0.34199340687523333
distance_driven,Nearest-Neighbor Reconfiguration,29,0.5,0.1,0.40884562731894253
distance_driven,Nearest-Neighbor Reconfiguration,35,0.5,0.1,0.4097370752596349
distance_driven,Nearest-Neighbor Reconfiguration,11,0.6,0.01,0.0007836265208915463
distance_driven,Nearest-Neighbor Reconfiguration,17,0.6,0.01,0.022409369595653175
distance_driven,Nearest-Neighbor Reconfiguration,23,0.6,0.01,0.19854425298003925
distance_driven,Nearest-Neighbor Reconfiguration,29,0.6,0.01,0.31655716623027247
distance_driven,Nearest-Neighbor Reconfiguration,35,0.6,0.01,0.2777873245797586
distance_driven,Nearest-Neighbor Reconfiguration,11,0.6,0.03,0.0013816869007554089
distance_driven,Nearest-Neighbor Reconfiguration,17,0.6,0.03,0.02200434235245681
distance_driven,Nearest-Neighbor Reconfiguration,23,0.6,0.03,0.19383387042033445
distance_driven,Nearest-Neighbor Reconfiguration,29,0.6,0.03,0.30493984944823693
distance_driven,Nearest-Neighbor Reconfiguration,35,0.6,0.03,0.2740612490795462
distance_driven,Nearest-Neighbor Reconfiguration,11,0.6,0.05,0.0020700710479213042
distance_driven,Nearest-Neighbor Reconfiguration,17,0.6,0.05,0.02154888247085503
distance_driven,Nearest-Neighbor Reconfiguration,23,0.6,0.05,0.18880614977586427
distance_driven,Nearest-Neighbor Reconfiguration,29,0.6,0.05,0.2918978264329614
distance_driven,Nearest-Neighbor Reconfiguration,35,0.6,0.05,0.27021382761287915
distance_driven,Nearest-Neighbor Reconfiguration,11,0.6,0.07,0.002771460480974279
distance_driven,Nearest-Neighbor Reconfiguration,17,0.6,0.07,0.021091743421756244
distance_driven,Nearest-Neighbor Reconfiguration,23,0.6,0.07,0.1839919956048785
distance_driven,Nearest-Neighbor Reconfiguration,29,0.6,0.07,0.2789536027918576
distance_driven,Nearest-Neighbor Reconfiguration,35,0.6,0.07,0.26667750434036513
distance_driven,Nearest-Neighbor Reconfiguration,11,0.6,0.1,0.0037730837934835
distance_driven,Nearest-Neighbor Reconfiguration,17,0.6,0.1,0.020442837628973035
distance_driven,Nearest-Neighbor Reconfiguration,23,0.6,0.1,0.17749175859404165
distance_driven,Nearest-Neighbor Reconfiguration,29,0.6,0.1,0.2610570341486785
distance_driven,Nearest-Neighbor Reconfiguration,35,0.6,0.1,0.262171344074544
distance_driven,Nearest-Neighbor Reconfiguration,11,0.7,0.01,0.0
distance_driven,Nearest-Neighbor Reconfiguration,17,0.7,0.01,0.0
distance_driven,Nearest-Neighbor Reconfiguration,23,0.7,0.01,0.0
distance_driven,Nearest-Neighbor Reconfiguration,29,0.7,0.01,0.09876070280634669
distance_driven,Nearest-Neighbor Reconfiguration,35,0.7,0.01,0.03799466469828877
distance_driven,Nearest-Neighbor Reconfiguration,11,0.7,0.03,0.0
distance_driven,Nearest-Neighbor Reconfiguration,17,0.7,0.03,0.0
distance_driven,Nearest-Neighbor Reconfiguration,23,0.7,0.03,0.0
distance_driven,Nearest-Neighbor Reconfiguration,29,0.7,0.03,0.09085738424151059
distance_driven,Nearest-Neighbor Reconfiguration,35,0.7,0.03,0.033762690550967575
distance_driven,Nearest-Neighbor Reconfiguration,11,0.7,0.05,0.0
