delta_id,delta_label,baseline_id,q_min,lambda,num_runs,delta_resilience_mean,delta_resilience_std
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.5,0.01,5,0.11646316149500638,0.04217848549760917
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.5,0.03,5,0.11176592643258014,0.03760345522054971
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.5,0.05,5,0.10499727754610996,0.032706144813251105
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.5,0.07,5,0.09802561332804123,0.028080592549700818
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.5,0.1,5,0.08888445736387396,0.02294579470886941
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.6,0.01,5,0.14175216002708108,0.048523921755691875
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.6,0.03,5,0.135862128758563,0.04253630127487274
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.6,0.05,5,0.12786629300742916,0.03733005490834117
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.6,0.07,5,0.11976932115192077,0.032783112680526486
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.6,0.1,5,0.10912110932600076,0.027708562687589814
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.7,0.01,5,0.13884194828855356,0.06309643611935538
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.7,0.03,5,0.12490318108597678,0.054037777027770545
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.7,0.05,5,0.11115075480514244,0.04869006690334558
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.7,0.07,5,0.09931069055280783,0.045366206384830736
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.7,0.1,5,0.08526757773243071,0.04190652643522283
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.3,0.01,5,0.08600499777931929,0.02403908763363762
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.3,0.03,5,0.08238797071377923,0.027673979829712873
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.3,0.05,5,0.07711076447523936,0.031127905474311282
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.3,0.07,5,0.07132445238476215,0.033744748686951764
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.3,0.1,5,0.06306715123940189,0.036001745863662636
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.4,0.01,5,0.1003391640758726,0.028045602239243645
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.4,0.03,5,0.0961192991660756,0.03228630980133164
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.4,0.05,5,0.08996255855444571,0.03631588972002984
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.4,0.07,5,0.08321186111555587,0.039368873468110424
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.4,0.1,5,0.07357834311263527,0.04200203684093941
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.5,0.01,5,0.12040699689104714,0.033654722687092395
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.5,0.03,5,0.11534315899929073,0.03874357176159814
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.5,0.05,5,0.10795507026533462,0.04357906766403549
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.5,0.07,5,0.09985423333866736,0.047242648161732397
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.5,0.1,5,0.08829401173516258,0.050402444209127435
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.6,0.01,5,0.15062136857796465,0.041952716646874735
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.6,0.03,5,0.14438153568205703,0.04825038286339678
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.6,0.05,5,0.1352534891477993,0.05423233126848265
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.6,0.07,5,0.1252407350797446,0.058748822411481376
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.6,0.1,5,0.11096084814660603,0.06259768131808449
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.7,0.01,5,0.16426459115745434,0.06776066493499823
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.7,0.03,5,0.1487618591443436,0.06975383232184597
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.7,0.05,5,0.1308393288119556,0.0684703805613189
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.7,0.07,5,0.11361895121134076,0.06489383673999817
delta_vs_mismatch,Resilience Gain over Phase-Mismatched Utility Reconfiguration $\Delta R_3$,utility_role_mismatch_recon,0.7,0.1,5,0.09177568346525504,0.05783202675577231
