strategy_id,strategy_label,seed,time,Q_phy,Q_comm,Q_mis,Q_overall,alive_nodes
distance_driven,Nearest-Neighbor Reconfiguration,11,48,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,49,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,50,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,51,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,52,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,53,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,54,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,55,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,56,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,57,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,58,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,59,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,60,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,61,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,62,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,63,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,64,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,65,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,66,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,67,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,68,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
distance_driven,Nearest-Neighbor Reconfiguration,11,69,0.5963555444306508,0.6150599148625874,0.5,0.5565947389096969,70
