stage,stage_label,scenario_id,scenario_label,attack_ratio,seed,Q_phy,Q_comm,Q_mis,Q_overall,alive_nodes,phy_edges,comm_edges,mis_edges,valid_paths,attacked_count,jammed_count,affected_sensor_count,affected_decider_count,affected_influencer_count
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,23,0.37653096551420673,0.42703639991807346,0.3333333333333333,0.37896689958853785,50,130,44,178,136,50,0,24,15,11
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,29,0.37394746338998824,0.4115669298049579,0.5,0.42850479773164873,50,123,34,158,98,50,0,25,15,10
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,35,0.3620724521374871,0.38600281570821054,0.3559322033898305,0.36800249041184274,50,122,38,163,116,50,0,24,14,12
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,11,0.20415665045277206,0.2312055672157608,0.056603773584905655,0.16398866375114618,40,69,19,105,17,60,0,31,16,13
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,17,0.2567200956184732,0.2628858558142641,0.25,0.25653531714424577,40,70,26,86,31,60,0,30,20,10
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,23,0.24885247848107186,0.29968353228228545,0.3333333333333333,0.2939564480322302,40,84,30,99,54,60,0,30,19,11
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,29,0.2460140783595458,0.29880321164630547,0.375,0.3066057633352838,40,78,31,108,47,60,0,30,17,13
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,35,0.27109346973235254,0.28338718639246313,0.30508474576271183,0.2865218006291758,40,79,32,100,62,60,0,29,18,13
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,11,0.14637078407256113,0.1603951236472668,0.056603773584905655,0.12112322710157786,30,44,7,62,14,70,0,36,19,15
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,17,0.13067244516144896,0.18265527209909224,0.0625,0.12527590575351374,30,34,12,52,1,70,0,33,22,15
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,23,0.165175392345747,0.21522871390875456,0.1111111111111111,0.16383840578853753,30,48,19,66,6,70,0,34,21,15
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,29,0.16082014033143827,0.1539699813639945,0.25,0.18826337389847758,30,45,9,66,34,70,0,34,20,16
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,35,0.16580931573861937,0.14999109248468404,0.20338983050847456,0.17306341291059263,30,46,11,50,25,70,0,33,23,14
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.8,11,0.10024345057689502,0.1008705689459557,0.056603773584905655,0.08590593103591879,20,24,10,32,12,80,0,41,22,17
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.8,17,0.06165935729169855,0.08478380089176485,0.0,0.048814386061154465,20,13,6,23,0,80,0,38,25,17
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.8,23,0.08271018222470801,0.09881915974399762,0.1111111111111111,0.09754681769327224,20,21,6,26,6,80,0,39,25,16
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.8,29,0.08277951678304342,0.08189243650114614,0.0625,0.07572398442806318,20,17,3,27,4,80,0,38,25,17
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.8,35,0.07501218937042176,0.08471978868898508,0.05084745762711864,0.07019314522884182,20,19,3,23,1,80,0,37,26,17
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.9,11,0.046767914943736937,0.032174476998861515,0.0,0.026314130647532817,10,8,1,8,0,90,0,45,28,17
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.9,17,0.02974812053916617,0.03832016376067186,0.0,0.022689428099946007,10,6,1,12,0,90,0,43,27,20
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.9,23,0.008821604118480037,0.013634471856793918,0.0,0.007485358658424651,10,3,0,4,0,90,0,43,29,18
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.9,29,0.031252205055286884,0.04028660052383597,0.0,0.023846268526374285,10,6,2,12,0,90,0,41,29,20
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.9,35,0.005109879736787439,0.01970697979943028,0.0,0.008272286512072572,10,2,2,2,0,90,0,43,29,18
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,1.0,11,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,1.0,17,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,1.0,23,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,1.0,29,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,1.0,35,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,50,30,20
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.0,11,1.0,1.0,1.0,1.0,100,491,150,650,1003,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.0,17,1.0,0.9999999999999999,1.0,0.9999999999999998,100,496,165,673,1003,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.0,23,1.0,1.0,1.0,1.0,100,536,162,719,1015,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.0,29,1.0,1.0,1.0,1.0,100,491,140,688,1002,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.0,35,1.0,1.0,1.0,1.0,100,525,138,678,1010,0,0,0,0,0
