scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,attack_ratio,num_runs,resilience_mean,resilience_std,final_Q_phy_mean,final_Q_phy_std,final_Q_comm_mean,final_Q_comm_std,final_Q_mis_mean,final_Q_mis_std,final_Q_overall_mean,final_Q_overall_std
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.41637396453506403,0.10770379921023991,0.7813548643128503,0.026812979135925424,0.7101771875272563,0.018757371909942575,0.7944444444444444,0.11055415967851333,0.7558696998251302,0.06147296441458468
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.03707265276756098,0.023166809160904286,1.0,0.0,0.5770495116970082,0.024548134647400344,0.7175816993464051,0.13138171853669076,0.674347796457488,0.06297957687195621
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.0,0.0,0.6462122095830468,0.009174301769281728,0.43507882974033674,0.02290489915654718,0.22058823529411767,0.08158161451832642,0.33839020150936266,0.03638976718220769
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.25,5,0.0,0.0,0.640560138576708,0.008253745310379408,0.38465354672542035,0.02290289444367985,0.1877124183006536,0.060376593076989976,0.2989783121056014,0.029121091952934032
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.17347095574097143,0.03059901220776338,0.9302998630500297,0.028977770729477666,0.5938783310988651,0.022416563066967297,0.9366666666666665,0.05979388465366095,0.7938582813626771,0.04799738520299307
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.0021262133793805453,0.0033646904225088704,0.9231072579404535,0.047884307089361734,0.5206062135660554,0.014826123757606308,0.18797385620915033,0.10966580170873538,0.37446090028246004,0.05623796897116905
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.46257041766213236,0.09621662767665402,0.9730134450278133,0.040187585592609223,0.8275678597824703,0.020381819781632247,0.7789760348583877,0.11567293925907106,0.8132800361525107,0.05664604477346117
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.40976258701227897,0.08777823797526696,0.621572944220139,0.015243117807536045,0.7106819710756722,0.040530279305673024,0.6657080610021786,0.08817137467984049,0.6837395646961488,0.03994129641428899
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,0.25,5,0.39930801540244837,0.09798883683322504,0.6148958456055509,0.00627795356641108,0.663584840627938,0.037790333409591134,0.6805228758169936,0.11432446875304784,0.6696194084713464,0.05389386025827374
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.5571635981489713,0.039196793413957716,0.7451158096612179,0.05759161583551272,0.9017664214006208,0.031216517073165275,0.853050108932462,0.06547049395106486,0.8695757345795713,0.038223246598656474
physical_topology,Physical Destruction-Topology-Oriented Deliberate Attack,Physical Destruction,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.48485908555832236,0.08799720385501039,0.7406851497033513,0.048277043784509616,0.7233561640861064,0.027098453257290003,0.8352287581699347,0.10293368579448398,0.7801589104088826,0.06013273947340717
