scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,layer_id,layer_label,final_mean,final_std,static_baseline_mean,absolute_gain_vs_static,relative_gain_vs_static_pct,rank_within_scenario_layer,is_best_strategy
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_mis,Mission-Layer Performance,0.07751633986928104,0.058772090799348156,0.1877124183006536,-0.11019607843137257,-58.704735376044574,5,0
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,1,1
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,2,1
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,3,1
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,4,1
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,1.0,0.0,0.0,5,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_comm,Communication-Layer Performance,0.9015727578205948,0.021767016535111774,0.685598187544793,0.2159745702758018,31.501625033349622,1,1
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_comm,Communication-Layer Performance,0.7336619378844494,0.03426520736083612,0.685598187544793,0.048063750339656486,7.0104838683687865,2,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_comm,Communication-Layer Performance,0.6868333261156876,0.03793042569433158,0.685598187544793,0.0012351385708946339,0.18015487691381,3,0
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,Q_comm,Communication-Layer Performance,0.685787940205843,0.03784379269671263,0.685598187544793,0.00018975266105003552,0.027676949049349434,4,0
